LocationID,Borough,Zone,service_zone,longitude,latitude
131,Queens,Jamaica Estates,Boro Zone,-73.7761011,40.7206555
132,Queens,JFK Airport,Airports,-73.7865299,40.6469851
133,Brooklyn,Kensington,Boro Zone,-73.9761988,40.6405899
134,Queens,Kew Gardens,Boro Zone,-73.8287124,40.708051
135,Queens,Kew Gardens Hills,Boro Zone,-73.821195,40.7283773
136,Bronx,Kingsbridge Heights,Boro Zone,-73.9059113,40.8652641
137,Manhattan,Kips Bay,Yellow Zone,-73.9764947,40.7404389
138,Queens,LaGuardia Airport,Airports,-73.8736284,40.7743758
139,Queens,Laurelton,Boro Zone,-73.7442348,40.6770975
140,Manhattan,Lenox Hill East,Yellow Zone,-73.9547391,40.765484
141,Manhattan,Lenox Hill West,Yellow Zone,-73.959635,40.7669481
142,Manhattan,Lincoln Square East,Yellow Zone,-73.9815324,40.7736332
143,Manhattan,Lincoln Square West,Yellow Zone,-73.9876457,40.7759651
144,Manhattan,Little Italy/NoLiTa,Yellow Zone,-73.9969186,40.7208888
145,Queens,Long Island City/Hunters Point,Boro Zone,-73.9488916,40.7453793
146,Queens,Long Island City/Queens Plaza,Boro Zone,-73.9348289,40.7542425
147,Bronx,Longwood,Boro Zone,-73.8989565,40.8196757
148,Manhattan,Lower East Side,Yellow Zone,-73.9908964,40.7189383
149,Brooklyn,Madison,Boro Zone,-73.9481356,40.6049135
150,Brooklyn,Manhattan Beach,Boro Zone,-73.9436287,40.5804734
151,Manhattan,Manhattan Valley,Yellow Zone,-73.9681682,40.797962
152,Manhattan,Manhattanville,Boro Zone,-73.9537822,40.8179751
153,Manhattan,Marble Hill,Boro Zone,-73.9103786,40.8759678
154,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone,-73.9025952,40.5935711
155,Brooklyn,Marine Park/Mill Basin,Boro Zone,-73.9152773,40.6145913
156,Staten Island,Mariners Harbor,Boro Zone,-74.1672343,40.6313077
157,Queens,Maspeth,Boro Zone,-73.9023308,40.7239949
158,Manhattan,Meatpacking/West Village West,Yellow Zone,-74.0089842,40.7350352
159,Bronx,Melrose South,Boro Zone,-73.9128493,40.8182598
160,Queens,Middle Village,Boro Zone,-73.8800512,40.7183368
161,Manhattan,Midtown Center,Yellow Zone,-73.977698,40.758028
162,Manhattan,Midtown East,Yellow Zone,-73.9723562,40.7566875
163,Manhattan,Midtown North,Yellow Zone,-73.9775686,40.7644214
164,Manhattan,Midtown South,Yellow Zone,-73.9851564,40.7485745
165,Brooklyn,Midwood,Boro Zone,-73.9568244,40.6209238
166,Manhattan,Morningside Heights,Boro Zone,-73.9617637,40.8094568
167,Bronx,Morrisania/Melrose,Boro Zone,-73.9023521,40.8275126
168,Bronx,Mott Haven/Port Morris,Boro Zone,-73.9168215,40.8073471
169,Bronx,Mount Hope,Boro Zone,-73.9051225,40.8490583
170,Manhattan,Murray Hill,Yellow Zone,-73.9784916,40.7477457
171,Queens,Murray Hill-Queens,Boro Zone,-73.8095453,40.7683516
172,Staten Island,New Dorp/Midland Beach,Boro Zone,-74.1050188,40.5717688
173,Queens,North Corona,Boro Zone,-73.8630376,40.7525792
174,Bronx,Norwood,Boro Zone,-73.8790222,40.8771374
175,Queens,Oakland Gardens,Boro Zone,-73.7546218,40.7426711
176,Staten Island,Oakwood,Boro Zone,-74.122583,40.5619941
177,Brooklyn,Ocean Hill,Boro Zone,-73.9136323,40.676644
178,Brooklyn,Ocean Parkway South,Boro Zone,-73.9703256,40.6173147
179,Queens,Old Astoria,Boro Zone,-73.928333,40.7715702
180,Queens,Ozone Park,Boro Zone,-73.8470429,40.675595
181,Brooklyn,Park Slope,Boro Zone,-73.9814143,40.670374
182,Bronx,Parkchester,Boro Zone,-73.8579869,40.8377486
183,Bronx,Pelham Bay,Boro Zone,-73.8315818,40.8491725
184,Bronx,Pelham Bay Park,Boro Zone,-73.8078583,40.8682751
185,Bronx,Pelham Parkway,Boro Zone,-73.8543939,40.8544049
186,Manhattan,Penn Station/Madison Sq West,Yellow Zone,-73.9924375,40.7484972
187,Staten Island,Port Richmond,Boro Zone,-74.1407887,40.6281659
188,Brooklyn,Prospect-Lefferts Gardens,Boro Zone,-73.9474419,40.6587447
189,Brooklyn,Prospect Heights,Boro Zone,-73.9675867,40.6776353
190,Brooklyn,Prospect Park,Boro Zone,-73.9689138,40.6616217
191,Queens,Queens Village,Boro Zone,-73.7415315,40.7154538
192,Queens,Queensboro Hill,Boro Zone,-73.8152292,40.7437519
193,Queens,Queensbridge/Ravenswood,Boro Zone,-73.9419973,40.7603135
194,Manhattan,Randalls Island,Yellow Zone,-73.9245967,40.7910005
195,Brooklyn,Red Hook,Boro Zone,-74.0091784,40.6755486
196,Queens,Rego Park,Boro Zone,-73.8633384,40.7261552
197,Queens,Richmond Hill,Boro Zone,-73.8309243,40.6945424
198,Queens,Ridgewood,Boro Zone,-73.9017092,40.7065268
199,Bronx,Rikers Island,Boro Zone,-73.882658,40.7911329
200,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone,-73.9069875,40.8995284
201,Queens,Rockaway Park,Boro Zone,-73.8434544,40.577983
202,Manhattan,Roosevelt Island,Boro Zone,-73.9499527,40.7618993
203,Queens,Rosedale,Boro Zone,-73.7394739,40.6578524
204,Staten Island,Rossville/Woodrow,Boro Zone,-74.2078258,40.5403331
205,Queens,Saint Albans,Boro Zone,-73.7631461,40.6912008
206,Staten Island,Saint George/New Brighton,Boro Zone,-74.1023144,40.6389731
207,Queens,Saint Michaels Cemetery/Woodside,Boro Zone,-73.8993526,40.7639856
208,Bronx,Schuylerville/Edgewater Park,Boro Zone,-73.8235389,40.8233178
209,Manhattan,Seaport,Yellow Zone,-74.0036645,40.7090727
210,Brooklyn,Sheepshead Bay,Boro Zone,-73.9405073,40.5920236
211,Manhattan,SoHo,Yellow Zone,-74.0015376,40.7238881
212,Bronx,Soundview/Bruckner,Boro Zone,-73.86968,40.8279023
213,Bronx,Soundview/Castle Hill,Boro Zone,-73.8581349,40.8178587
214,Staten Island,South Beach/Dongan Hills,Boro Zone,-74.0855124,40.5867864
215,Queens,South Jamaica,Boro Zone,-73.7909648,40.6944275
216,Queens,South Ozone Park,Boro Zone,-73.8194595,40.6761537
217,Brooklyn,South Williamsburg,Boro Zone,-73.9585968,40.7039165
218,Queens,Springfield Gardens North,Boro Zone,-73.7730356,40.6720899
219,Queens,Springfield Gardens South,Boro Zone,-73.764505,40.6621855
220,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone,-73.9106649,40.8824031
221,Staten Island,Stapleton,Boro Zone,-74.0737034,40.6187681
222,Brooklyn,Starrett City,Boro Zone,-73.8824127,40.6475269
223,Queens,Steinway,Boro Zone,-73.9054074,40.7774267
224,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone,-73.9765976,40.7318206
225,Brooklyn,Stuyvesant Heights,Boro Zone,-73.9318878,40.6881681
226,Queens,Sunnyside,Boro Zone,-73.9246728,40.7376979
227,Brooklyn,Sunset Park East,Boro Zone,-74.0046526,40.6418861
228,Brooklyn,Sunset Park West,Boro Zone,-74.0112729,40.6523542
229,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,-73.9651458,40.7567289
230,Manhattan,Times Sq/Theatre District,Yellow Zone,-73.9841966,40.7598176
231,Manhattan,TriBeCa/Civic Center,Yellow Zone,-74.0078797,40.7177726
232,Manhattan,Two Bridges/Seward Park,Yellow Zone,-73.9830247,40.7147325
233,Manhattan,UN/Turtle Bay South,Yellow Zone,-73.9704426,40.749914
234,Manhattan,Union Sq,Yellow Zone,-73.9904579,40.7403374
235,Bronx,University Heights/Morris Heights,Boro Zone,-73.9159758,40.852521
236,Manhattan,Upper East Side North,Yellow Zone,-73.9570119,40.7804363
237,Manhattan,Upper East Side South,Yellow Zone,-73.9656347,40.7686151
238,Manhattan,Upper West Side North,Yellow Zone,-73.9730488,40.7917049
239,Manhattan,Upper West Side South,Yellow Zone,-73.9786319,40.7839614
240,Bronx,Van Cortlandt Park,Boro Zone,-73.8819774,40.8945987
241,Bronx,Van Cortlandt Village,Boro Zone,-73.8956202,40.8765121
242,Bronx,Van Nest/Morris Park,Boro Zone,-73.8506712,40.8467832
243,Manhattan,Washington Heights North,Boro Zone,-73.9328317,40.857108
244,Manhattan,Washington Heights South,Boro Zone,-73.9413993,40.8417084
245,Staten Island,West Brighton,Boro Zone,-74.1028602,40.6300492
246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,-74.0040155,40.7533088
247,Bronx,West Concourse,Boro Zone,-73.9244099,40.8289874
248,Bronx,West Farms/Bronx River,Boro Zone,-73.8722896,40.8341653
249,Manhattan,West Village,Yellow Zone,-74.002875,40.7345759
250,Bronx,Westchester Village/Unionport,Boro Zone,-73.8486409,40.8321014
251,Staten Island,Westerleigh,Boro Zone,-74.1253478,40.6168802
252,Queens,Whitestone,Boro Zone,-73.8156569,40.7881931
253,Queens,Willets Point,Boro Zone,-73.841244,40.7606307
254,Bronx,Williamsbridge/Olinville,Boro Zone,-73.8589486,40.8821567
255,Brooklyn,Williamsburg (North Side),Boro Zone,-73.9574181,40.7188039
256,Brooklyn,Williamsburg (South Side),Boro Zone,-73.9599046,40.71088
257,Brooklyn,Windsor Terrace,Boro Zone,-73.9779821,40.6536116
258,Queens,Woodhaven,Boro Zone,-73.8557667,40.6887212
259,Bronx,Woodlawn/Wakefield,Boro Zone,-73.8522151,40.8979321
260,Queens,Woodside,Boro Zone,-73.9063072,40.7442336
261,Manhattan,World Trade Center,Yellow Zone,-74.0130228,40.7091389
262,Manhattan,Yorkville East,Yellow Zone,-73.9465105,40.7759323
263,Manhattan,Yorkville West,Yellow Zone,-73.9510101,40.7787657
